symbol,date,open,high,low,close,volume,turnover
DHPL,2025/06/25,336.90,340.50,333.30,338.43,"25,071","8,454,413.60"
DLBS,2025/06/29,"1,335.00","1,335.00","1,315.00","1,331.98","1,480","1,967,021.90"
DLBS,2025/06/26,"1,382.00","1,382.10","1,327.90","1,332.34","1,933","2,585,035.30"
DLBS,2025/06/25,"1,330.00","1,379.00","1,330.00","1,355.00",348,"473,803.80"
DOLTI,2025/06/29,555.00,563.90,551.00,559.15,"4,746","2,646,137.60"
DOLTI,2025/06/26,554.00,579.00,554.00,561.32,"4,916","2,767,735.70"
DOLTI,2025/06/25,540.00,565.00,540.00,559.12,"5,013","2,783,789.00"
DORDI,2025/06/29,318.00,320.00,305.50,306.74,"110,038","33,926,790.30"
DORDI,2025/06/26,314.00,336.00,307.80,316.22,"155,871","49,645,603.40"
DORDI,2025/06/25,334.90,334.90,308.00,313.16,"239,848","75,144,788.50"
EBL,2025/06/29,640.00,645.00,636.10,643.87,"22,263","14,253,815.90"
EBL,2025/06/26,635.00,637.00,634.00,635.17,"28,083","17,834,016.90"
EBL,2025/06/25,636.00,638.00,631.00,635.28,"38,444","24,336,493.30"
EBLD85,2025/06/26,"1,120.00","1,125.50","1,120.00","1,125.50",50,"56,137.50"
EBLD85,2025/06/25,"1,126.00","1,126.00","1,125.00","1,125.00",50,"56,275.00"
EBLD86,2025/06/29,"1,071.00","1,071.00","1,071.00","1,071.00",40,"42,840.00"
EBLD86,2025/06/25,"1,077.00","1,077.10","1,077.00","1,077.10",300,"323,125.00"
EBLD91,2025/06/29,"1,028.00","1,045.00","1,028.00","1,045.00",450,"469,825.00"
EBLD91,2025/06/25,"1,030.10","1,047.00","1,028.00","1,028.00",290,"301,887.50"
EBLEB89,2025/06/29,"1,035.00","1,035.00","1,014.80","1,014.80",75,"77,120.00"
EBLEB89,2025/06/26,"1,006.20","1,025.00","1,006.20","1,025.00",50,"50,780.00"
EBLEB89,2025/06/25,"1,025.20","1,025.20","1,025.20","1,025.20",25,"25,630.00"
EDBL,2025/06/29,562.00,569.00,560.80,565.89,"25,158","14,192,658.70"
