symbol,open,high,low,close,volume,turnover
NLICL,603.0,603.0,588.1,590.0,896,528640.0
NMB,239.1,242.9,239.1,241.0,10430,2513630.0
NMBHF2,8.5,8.75,8.5,8.63,2900,25027.000000000004
NMBMF,693.0,715.0,692.0,711.0,4210,2993310.0
NMFBS,1239.0,1250.0,1230.0,1249.0,1713,2139537.0
NMIC,1680.0,1700.0,1658.0,1665.0,4250,7076250.0
NMLBBL,645.0,663.9,645.0,660.0,4264,2814240.0
NRIC,1259.1,1259.1,1245.0,1250.0,10257,12821250.0
NRM,455.5,464.1,455.0,464.1,9093,4220061.3
NRN,2009.0,2020.0,1992.2,2000.0,12202,24404000.0
NSIF2,10.47,10.67,10.47,10.5,6300,66150.0
NTC,850.0,855.0,847.0,847.1,3945,3341809.5
NUBL,675.0,683.0,670.3,679.0,3781,2567299.0
NWCL,870.0,898.0,870.0,871.0,610,531310.0
NYADI,437.0,440.0,433.9,438.0,2294,1004772.0
OHL,945.1,959.0,922.0,925.0,20369,18841325.0
OMPL,1462.1,1501.0,1461.2,1467.0,9706,14238702.0
PCBL,244.0,244.0,238.3,239.2,13024,3115340.8
PCBLP,105.0,105.0,105.0,105.0,4175,438375.0
PFL,408.9,409.0,400.8,405.2,11061,4481917.2
PHCL,531.0,539.9,524.0,525.0,5433,2852325.0
PMHPL,320.8,320.8,308.0,309.1,12430,3842113.0000000005
PMLI,491.2,506.0,491.2,502.0,2595,1302690.0
PPCL,339.0,339.0,330.0,331.1,5309,1757809.9000000001
PPL,405.0,425.0,385.0,395.0,50946,20123670.0
PRIN,862.9,862.9,845.7,845.7,1903,1609367.1
PROFL,490.0,499.0,490.0,495.0,3486,1725570.0
PRSF,11.06,11.24,11.06,11.2,5700,63839.99999999999
PRVU,206.0,208.0,205.0,206.0,27835,5734010.0
PRVUPO,110.0,110.0,110.0,110.0,24000,2640000.0
PSF,11.0,11.0,10.87,10.87,5400,58697.99999999999
PURE,1017.7,1097.5,1017.7,1097.5,3810,4181475.0
RADHI,820.9,826.2,806.0,817.7,207045,169300696.5
RAWA,795.0,795.0,787.3,790.1,691,545959.1
RBCL,14600.0,14600.0,14575.0,14575.0,35,510125.0
RFPL,615.0,617.0,602.0,604.3,19111,11548777.299999999
RHGCL,351.0,351.0,335.0,335.2,7084,2374556.8
RHPL,415.6,415.6,398.9,405.0,49005,19847025.0
RIDI,283.0,284.9,275.3,279.0,120107,33509853.0
RLFL,485.0,485.0,475.0,478.0,3760,1797280.0
RMF1,9.55,9.6,9.55,9.6,1776,17049.6
RMF2,9.54,9.54,9.54,9.54,100,953.9999999999999
RNLI,447.0,448.0,441.2,445.0,7973,3547985.0
RSDC,668.9,674.0,661.1,671.0,19441,13044911.0
RURU,705.0,733.0,705.0,715.0,1190,850850.0
SADBL,411.0,411.0,401.0,406.0,15940,6471640.0
SAGF,9.8,9.8,9.8,9.8,600,5880.0
SAHAS,553.0,559.0,546.1,550.5,99527,54789613.5
SALICO,674.6,674.6,671.0,671.2,5393,3619781.6
SAMAJ,2133.1,2300.0,2133.1,2225.0,314,698650.0
SANIMA,319.9,319.9,315.0,315.3,10913,3440868.9
SAPDBL,1037.5,1057.0,1016.8,1049.0,11557,12123293.0
SARBTM,859.9,859.9,844.2,852.0,5816,4955232.0
SBCF,9.5,9.5,9.5,9.5,1500,14250.0
SBI,398.0,398.0,385.0,390.0,6187,2412930.0
SBL,305.1,310.9,305.0,310.9,30525,9490222.5
SCB,613.0,614.0,610.1,614.0,1234,757676.0
SEF,10.0,10.05,10.0,10.0,15400,154000.0
SFCL,489.0,491.0,483.1,484.0,8104,3922336.0
SFMF,10.62,10.62,10.62,10.62,1000,10620.0
SGHC,418.1,424.5,418.1,418.3,765,319999.5
SGIC,553.9,553.9,545.5,551.0,4131,2276181.0
SHEL,298.1,302.0,290.5,296.0,373258,110484368.0
SHINE,406.0,407.0,400.0,404.0,35722,14431688.0
SHIVM,523.8,525.0,514.0,521.0,68333,35601493.0
SHL,611.1,617.9,588.0,602.0,376009,226357418.0
SHLB,1870.0,1904.0,1869.0,1890.0,360,680400.0
SHPC,631.7,652.0,631.7,644.0,533833,343788452.0
SICL,737.6,747.0,737.2,741.0,2934,2174094.0
SIFC,541.1,544.0,520.0,527.3,39182,20660668.599999998
SIGS3,10.51,10.51,10.3,10.3,8700,89610.0
SIKLES,927.0,927.0,881.0,890.0,363,323070.0
SINDU,796.0,799.8,781.0,790.0,18403,14538370.0
SJCL,329.1,330.0,326.1,328.0,3508,1150624.0
SJLIC,427.0,430.0,427.0,428.2,5621,2406912.1999999997
SKBBL,809.0,809.9,794.0,795.0,5807,4616565.0
SLBBL,852.0,882.0,852.0,882.0,7308,6445656.0
SLBSL,1276.05,1354.0,1276.05,1333.0,3512,4681496.0
SLCF,9.75,9.84,9.75,9.83,3000,29490.0
SMATA,741.9,824.0,741.9,789.0,13541,10683849.0
SMB,2067.0,2129.0,2067.0,2129.0,199,423671.0
SMFBS,1738.0,1738.0,1703.3,1730.0,276,477480.0
SMH,850.0,850.0,846.0,846.0,210,177660.0
SMHL,1000.1,1019.9,1000.1,1000.1,2058,2058205.8
SMJC,530.0,547.0,530.0,540.0,3209,1732860.0
SMPDA,934.0,974.0,934.0,955.0,8936,8533880.0
SNLI,477.0,480.0,474.0,475.1,8489,4033123.9000000004
SONA,457.0,462.8,455.1,462.0,12397,5727414.0
SPC,503.0,512.0,500.0,501.5,5776,2896664.0
SPDL,419.0,421.9,410.1,416.2,107015,44539643.0
SPHL,690.1,690.3,680.0,680.0,190,129200.0
SPIL,801.9,810.0,801.9,802.0,6157,4937914.0
SPL,787.0,799.5,784.0,785.5,1066,837343.0
SRLI,401.0,406.0,399.1,400.1,25564,10228156.4
SSHL,233.0,233.0,228.3,228.9,14280,3268692.0
STC,5000.0,5020.0,4963.0,4963.0,401,1990163.0
SWBBL,822.0,827.0,815.0,825.0,2377,1961025.0
SWMF,710.0,710.0,700.0,704.0,1990,1400960.0
TAMOR,548.0,548.0,522.0,532.9,20502,10925515.799999999
TPC,382.6,382.6,360.0,368.0,7495,2758160.0
TRH,995.0,996.0,960.8,978.0,7960,7784880.0
TSHL,681.0,682.0,680.0,682.0,140,95480.0
TVCL,484.0,484.0,474.5,480.0,673,323040.0
UAIL,576.14,579.0,568.0,577.9,2320,1340728.0
UHEWA,518.2,559.0,518.2,530.0,9950,5273500.0
ULBSL,3270.0,3280.0,3216.0,3258.0,110,358380.0
ULHC,466.3,483.9,466.3,469.4,7203,3381088.1999999997
UMHL,520.1,537.5,520.1,533.2,110585,58963922.00000001
UMRH,600.0,611.5,589.0,594.9,13799,8209025.1
UNHPL,405.0,417.0,403.0,410.1,137329,56318622.900000006
UNL,46100.2,47024.0,46100.2,47024.0,59,2774416.0
UNLB,2060.0,2097.0,2033.0,2077.0,320,664640.0
UPCL,462.8,462.8,446.1,453.5,299737,135930729.5
UPPER,199.0,201.9,198.0,198.0,41685,8253630.0
USHEC,443.0,443.0,431.2,437.0,1240,541880.0
USHL,620.0,620.0,615.0,615.0,345,212175.0
USLB,1850.0,1855.0,1815.0,1855.0,1469,2724995.0
VLBS,793.0,815.0,793.0,814.0,486,395604.0
VLUCL,607.0,610.0,606.0,608.0,2030,1234240.0
WNLB,2052.0,2090.0,2052.0,2090.0,611,1276990.0
